evidence_id,source_document_id,source_document_version,source_document_hash,project_id,bom_version,bom_line_id,material_code,related_event_id,source_type,file_name,page_or_location,original_text,extracted_field,extracted_value,confidence,evidence_rank
EVD-PO-1001,SRC-PO-EUA-001,v1,sha256:simulated-po-eua-001,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-001,purchase_order,po_EU-A_001.pdf,line 12,MAT-ECAB-001 confirmed quantity 4 SET,purchase_order_quantity,4,0.99,high
EVD-MES-1001,SRC-MES-EUA-0727,v1,sha256:simulated-mes-eua-0727,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-002,mes_record,mes_completion_20260727.json,record 31,MAT-ECAB-001 production completed quantity 4 SET,production_quantity,4,0.99,high
EVD-QMS-1001,SRC-QMS-EUA-0728,v1,sha256:simulated-qms-eua-0728,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-003,quality_release,qms_release_20260728.pdf,line 7,MAT-ECAB-001 quality released quantity 4 SET,quality_release_quantity,4,0.99,high
EVD-WMS-1001,SRC-WMS-EUA-0728,v1,sha256:simulated-wms-eua-0728,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-004,wms_export,wms_outbound_20260728.xlsx,row 18,MAT-ECAB-001 outbound qty 4 SET,outbound_quantity,4,0.99,high
EVD-TR-1001-A,SRC-TR-EUA-001,v1,sha256:simulated-tr-eua-001,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-005,transfer_order,transfer_order_001.pdf,line 8,PKG-A17 transferred from Guangzhou Plant to Suzhou Integration Plant,transfer_status,confirmed,0.97,high
EVD-TR-1001-B,SRC-TR-EUA-002,v1,sha256:simulated-tr-eua-002,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-006,transfer_order,transfer_order_002.pdf,line 6,PKG-A17 transferred from Suzhou Integration Plant to Shanghai Port,transfer_status,confirmed,0.97,high
EVD-PL-1001,SRC-PL-EUA-001,v3,sha256:simulated-pl-eua-001-v3,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-007,packing_list,packing_list_EU-A.pdf,page 2 line 16,PKG-A17 Control Cabinet 4 SET in CONT-7781,package_quantity,4,0.96,high
EVD-INV-1001,SRC-INV-EUA-001,v1,sha256:simulated-inv-eua-001,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,,commercial_invoice,invoice_EU-A.pdf,page 1 line 12,Electrical cabinet quantity 4 SET,invoice_quantity,4,0.98,high
EVD-BL-1001,SRC-BL-CONT-7781,v1,sha256:simulated-bl-cont-7781,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-008,bill_of_lading,bill_of_lading_CONT-7781.pdf,page 1 line 22,PKG-A17 Control Cabinet 4 SET loaded on board in CONT-7781,shipment_status,loaded_on_board,0.99,high
EVD-CAR-1001,SRC-CAR-CONT-7781,v1,sha256:simulated-car-cont-7781,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-009,carrier_event,carrier_status_CONT-7781.json,event 28,CONT-7781 arrived at Hamburg Port at 2026-08-08 07:40 CEST,port_arrival,2026-08-08 07:40,0.98,high
