event_id,project_id,bom_version,bom_line_id,material_code,source_site,target_site,package_no,container_no,event_type,event_time,event_timezone,expected_event_time,expected_event_timezone,received_time,received_timezone,quantity,unit,status,record_action,supersedes_event_id,source_document_id
EVT-001,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,华南供应商,广州工厂,,,purchase_order_confirmed,2026-07-20 10:00,Asia/Shanghai,,,2026-07-20 10:08,Asia/Shanghai,4,set,confirmed,create,,SRC-PO-EUA-001
EVT-002,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,广州工厂,广州工厂,,,production_completed,2026-07-27 17:10,Asia/Shanghai,,,2026-07-27 17:15,Asia/Shanghai,4,set,confirmed,create,,SRC-MES-EUA-0727
EVT-003,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,广州工厂,广州工厂,,,quality_released,2026-07-28 08:40,Asia/Shanghai,,,2026-07-28 08:43,Asia/Shanghai,4,set,confirmed,create,,SRC-QMS-EUA-0728
EVT-004,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,广州工厂,广州工厂,PKG-A17,CONT-7781,factory_outbound,2026-07-28 09:30,Asia/Shanghai,,,2026-07-28 09:45,Asia/Shanghai,4,set,confirmed,create,,SRC-WMS-EUA-0728
EVT-005,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,广州工厂,苏州集成工厂,PKG-A17,CONT-7781,inter_factory_transfer,2026-07-28 14:20,Asia/Shanghai,,,2026-07-28 15:02,Asia/Shanghai,4,set,confirmed,create,,SRC-TR-EUA-001
EVT-006,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,苏州集成工厂,上海港,PKG-A17,CONT-7781,port_transfer,2026-07-29 08:20,Asia/Shanghai,,,2026-07-29 08:47,Asia/Shanghai,4,set,confirmed,create,,SRC-TR-EUA-002
EVT-007,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,上海港,上海港,PKG-A17,CONT-7781,packed,2026-07-29 16:10,Asia/Shanghai,,,2026-07-29 17:00,Asia/Shanghai,4,set,confirmed,create,,SRC-PL-EUA-001
EVT-008,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,上海港,汉堡港,PKG-A17,CONT-7781,loaded_on_board,2026-08-02 23:30,Asia/Shanghai,,,2026-08-03 06:00,Asia/Shanghai,4,set,confirmed,create,,SRC-BL-CONT-7781
EVT-009,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,汉堡港,汉堡港,PKG-A17,CONT-7781,arrived_port,2026-08-08 07:40,Europe/Berlin,,,2026-08-08 08:15,Europe/Berlin,4,set,confirmed,create,,SRC-CAR-CONT-7781
EVT-010,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,汉堡港,汉堡海关,PKG-A17,CONT-7781,customs_draft,2026-08-08 11:20,Europe/Berlin,,,2026-08-08 14:05,Europe/Berlin,3,set,conflict,create,,SRC-CD-EUA-001
EVT-011,EU-A,BOM-V1,BL-1002,MAT-SERVO-014,华东供应商,广州工厂,,,supplier_asn,2026-07-25 11:00,Asia/Shanghai,,,2026-07-25 11:12,Asia/Shanghai,8,pcs,confirmed,create,,SRC-ASN-1002
EVT-012,EU-A,BOM-V1,BL-1002,MAT-SERVO-014,广州工厂,广州工厂,,,inventory_reserved,2026-07-27 09:20,Asia/Shanghai,,,2026-07-27 09:22,Asia/Shanghai,8,pcs,confirmed,create,,SRC-WMS-RES-1002
EVT-013,EU-A,BOM-V1,BL-1002,MAT-SERVO-014,上海港,上海港,PKG-A18-1,CONT-7781,packed,2026-07-29 16:20,Asia/Shanghai,,,2026-07-29 17:02,Asia/Shanghai,4,pcs,confirmed,create,,SRC-PL-EUA-001
EVT-014,EU-A,BOM-V1,BL-1002,MAT-SERVO-014,上海港,上海港,PKG-A18-2,CONT-7781,packed,2026-07-29 16:22,Asia/Shanghai,,,2026-07-29 17:02,Asia/Shanghai,4,pcs,confirmed,create,,SRC-PL-EUA-001
EVT-015,EU-A,BOM-V1,BL-1002,MAT-SERVO-014,上海港,汉堡港,PKG-A18-1|PKG-A18-2,CONT-7781,loaded_on_board,2026-08-02 23:30,Asia/Shanghai,,,2026-08-03 06:00,Asia/Shanghai,8,pcs,confirmed,create,,SRC-BL-CONT-7781
EVT-016,EU-A,BOM-V1,BL-2001,MAT-GUN-032,广州工厂,广州工厂,,,production_completed,2026-07-31 16:30,Asia/Shanghai,,,2026-07-31 16:36,Asia/Shanghai,2,pcs,confirmed,create,,SRC-MES-EUA-0731
EVT-017,EU-A,BOM-V1,BL-2001,MAT-GUN-032,广州工厂,广州工厂,,,quality_released,2026-08-01 07:40,Asia/Shanghai,,,2026-08-01 07:44,Asia/Shanghai,2,pcs,confirmed,create,,SRC-QMS-EUA-0801
EVT-018,EU-A,BOM-V1,BL-2001,MAT-GUN-032,广州工厂,苏州集成工厂,PKG-A19,CONT-7782,inter_factory_transfer,2026-08-01 08:20,Asia/Shanghai,,,2026-08-01 09:10,Asia/Shanghai,2,pcs,confirmed,create,,SRC-TR-EUA-019
EVT-019,EU-A,BOM-V1,BL-2001,MAT-GUN-032,苏州集成工厂,上海港,PKG-A19,CONT-7782,port_transfer,2026-08-01 15:10,Asia/Shanghai,,,2026-08-01 15:42,Asia/Shanghai,2,pcs,confirmed,create,,SRC-TR-EUA-020
